classifier_name,dataset_name,accuracy
Cnn_100_none,FiftyWords,0.610989010989011
cnn_100_all,FiftyWords,0.472527472527472
Resnet_100_none,FiftyWords,0.681318681318681
Resnet_100_all,FiftyWords,0.494505494505494
Encoder_100_none,FiftyWords,0.707692307692308
Encoder_100_all,FiftyWords,0.58021978021978
Inception_100_none,FiftyWords,0.738461538461539
Inception_100_all,FiftyWords,0.551648351648352
Cnn_1000_none,FiftyWords,0.657142857142857
Cnn_1000_all,FiftyWords,0.556043956043956
Resnet_1000_none,FiftyWords,0.716483516483516
Resnet_1000_all,FiftyWords,0.523076923076923
Encoder_1000_none,FiftyWords,0.714285714285714
Encoder_1000_all,FiftyWords,0.606593406593406
Inception_1000_none,FiftyWords,0.824175824175824
Inception_1000_all,FiftyWords,0.705494505494505
Cnn_100_none,Adiac,0.593350383631714
cnn_100_all,Adiac,0.39386189258312
Resnet_100_none,Adiac,0.468030690537084
Resnet_100_all,Adiac,0.355498721227621
Encoder_100_none,Adiac,0.780051150895141
Encoder_100_all,Adiac,0.457800511508951
Inception_100_none,Adiac,0.253196930946292
Inception_100_all,Adiac,0.19693094629156
Cnn_1000_none,Adiac,0.836317135549872
Cnn_1000_all,Adiac,0.621483375959079
Resnet_1000_none,Adiac,0.831202046035806
Resnet_1000_all,Adiac,0.641943734015345
Encoder_1000_none,Adiac,0.785166240409207
Encoder_1000_all,Adiac,0.603580562659846
Inception_1000_none,Adiac,0.820971867007673
Inception_1000_all,Adiac,0.388746803069054
Cnn_100_none,ArrowHead,0.731428571428571
cnn_100_all,ArrowHead,0.708571428571428
Resnet_100_none,ArrowHead,0.788571428571429
Resnet_100_all,ArrowHead,0.628571428571429
Encoder_100_none,ArrowHead,0.805714285714286
Encoder_100_all,ArrowHead,0.817142857142857
Inception_100_none,ArrowHead,0.302857142857143
Inception_100_all,ArrowHead,0.48
Cnn_1000_none,ArrowHead,0.828571428571429
Cnn_1000_all,ArrowHead,0.777142857142857
Resnet_1000_none,ArrowHead,0.845714285714286
Resnet_1000_all,ArrowHead,0.794285714285714
Encoder_1000_none,ArrowHead,0.811428571428571
Encoder_1000_all,ArrowHead,0.777142857142857
Inception_1000_none,ArrowHead,0.845714285714286
Inception_1000_all,ArrowHead,0.782857142857143
Cnn_100_none,Beef,0.466666666666667
cnn_100_all,Beef,0.366666666666667
Resnet_100_none,Beef,0.733333333333333
Resnet_100_all,Beef,0.433333333333333
Encoder_100_none,Beef,0.866666666666667
Encoder_100_all,Beef,0.666666666666667
Inception_100_none,Beef,0.2
Inception_100_all,Beef,0.333333333333333
Cnn_1000_none,Beef,0.766666666666667
Cnn_1000_all,Beef,0.566666666666667
Resnet_1000_none,Beef,0.7
Resnet_1000_all,Beef,0.7
Encoder_1000_none,Beef,0.933333333333333
Encoder_1000_all,Beef,0.766666666666667
Inception_1000_none,Beef,0.7
Inception_1000_all,Beef,0.566666666666667
Cnn_100_none,BeetleFly,0.7
cnn_100_all,BeetleFly,0.8
Resnet_100_none,BeetleFly,0.5
Resnet_100_all,BeetleFly,0.95
Encoder_100_none,BeetleFly,0.75
Encoder_100_all,BeetleFly,0.85
Inception_100_none,BeetleFly,0.9
Inception_100_all,BeetleFly,1
Cnn_1000_none,BeetleFly,0.85
Cnn_1000_all,BeetleFly,1
Resnet_1000_none,BeetleFly,0.95
Resnet_1000_all,BeetleFly,0.95
Encoder_1000_none,BeetleFly,0.65
Encoder_1000_all,BeetleFly,0.85
Inception_1000_none,BeetleFly,0.75
Inception_1000_all,BeetleFly,0.95
Cnn_100_none,BirdChicken,0.9
cnn_100_all,BirdChicken,1
Resnet_100_none,BirdChicken,0.9
Resnet_100_all,BirdChicken,1
Encoder_100_none,BirdChicken,0.65
Encoder_100_all,BirdChicken,0.55
Inception_100_none,BirdChicken,0.85
Inception_100_all,BirdChicken,1
Cnn_1000_none,BirdChicken,0.9
Cnn_1000_all,BirdChicken,1
Resnet_1000_none,BirdChicken,0.9
Resnet_1000_all,BirdChicken,1
Encoder_1000_none,BirdChicken,0.6
Encoder_1000_all,BirdChicken,0.7
Inception_1000_none,BirdChicken,0.9
Inception_1000_all,BirdChicken,1
Cnn_100_none,CBF,0.967777777777778
cnn_100_all,CBF,0.553333333333333
Resnet_100_none,CBF,0.975555555555556
Resnet_100_all,CBF,0.768888888888889
Encoder_100_none,CBF,0.978888888888889
Encoder_100_all,CBF,0.875555555555555
Inception_100_none,CBF,0.92
Inception_100_all,CBF,0.87
Cnn_1000_none,CBF,0.992222222222222
Cnn_1000_all,CBF,0.891111111111111
Resnet_1000_none,CBF,0.998888888888889
Resnet_1000_all,CBF,0.96
Encoder_1000_none,CBF,0.967777777777778
Encoder_1000_all,CBF,0.877777777777778
Inception_1000_none,CBF,0.998888888888889
Inception_1000_all,CBF,0.973333333333333
Cnn_100_none,Car,0.216666666666667
cnn_100_all,Car,0.766666666666667
Resnet_100_none,Car,0.916666666666667
Resnet_100_all,Car,0.75
Encoder_100_none,Car,0.8
Encoder_100_all,Car,0.733333333333333
Inception_100_none,Car,0.7
Inception_100_all,Car,0.666666666666667
Cnn_1000_none,Car,0.883333333333333
Cnn_1000_all,Car,0.883333333333333
Resnet_1000_none,Car,0.933333333333333
Resnet_1000_all,Car,0.85
Encoder_1000_none,Car,0.8
Encoder_1000_all,Car,0.716666666666667
Inception_1000_none,Car,0.9
Inception_1000_all,Car,0.85
Cnn_100_none,ChlorineConcentration,0.297916666666667
cnn_100_all,ChlorineConcentration,0.559635416666667
Resnet_100_none,ChlorineConcentration,0.818229166666667
Resnet_100_all,ChlorineConcentration,0.542708333333333
Encoder_100_none,ChlorineConcentration,0.80234375
Encoder_100_all,ChlorineConcentration,0.55859375
Inception_100_none,ChlorineConcentration,0.757552083333333
