model;pre_trained_set;training_set;num_frozen_layers;epochs;accuracy
CNN;WordSynonyms;FiftyWords;0;100;0.610989010989011
CNN;WordSynonyms;FiftyWords;11;100;0.4725274725274725
RESNET;WordSynonyms;FiftyWords;0;100;0.6813186813186813
RESNET;WordSynonyms;FiftyWords;37;100;0.4945054945054945
ENCODER;WordSynonyms;FiftyWords;0;100;0.7076923076923077
ENCODER;WordSynonyms;FiftyWords;22;100;0.5802197802197803
INCEPTION;WordSynonyms;FiftyWords;0;100;0.7384615384615385
INCEPTION;WordSynonyms;FiftyWords;63;100;0.5516483516483517
CNN;WordSynonyms;FiftyWords;0;1000;0.6571428571428571
CNN;WordSynonyms;FiftyWords;11;1000;0.5560439560439561
RESNET;WordSynonyms;FiftyWords;0;1000;0.7164835164835165
RESNET;WordSynonyms;FiftyWords;37;1000;0.5230769230769231
ENCODER;WordSynonyms;FiftyWords;0;1000;0.7142857142857143
ENCODER;WordSynonyms;FiftyWords;22;1000;0.6065934065934065
INCEPTION;WordSynonyms;FiftyWords;0;1000;0.8241758241758241
INCEPTION;WordSynonyms;FiftyWords;63;1000;0.7054945054945055
CNN;DiatomSizeReduction;Adiac;0;100;0.5933503836317136
CNN;DiatomSizeReduction;Adiac;11;100;0.3938618925831202
RESNET;DiatomSizeReduction;Adiac;0;100;0.4680306905370844
RESNET;DiatomSizeReduction;Adiac;37;100;0.3554987212276215
ENCODER;DiatomSizeReduction;Adiac;0;100;0.7800511508951407
ENCODER;DiatomSizeReduction;Adiac;22;100;0.4578005115089514
INCEPTION;DiatomSizeReduction;Adiac;0;100;0.2531969309462916
INCEPTION;DiatomSizeReduction;Adiac;63;100;0.1969309462915601
CNN;DiatomSizeReduction;Adiac;0;1000;0.8363171355498721
CNN;DiatomSizeReduction;Adiac;11;1000;0.6214833759590793
RESNET;DiatomSizeReduction;Adiac;0;1000;0.8312020460358056
RESNET;DiatomSizeReduction;Adiac;37;1000;0.6419437340153452
ENCODER;DiatomSizeReduction;Adiac;0;1000;0.7851662404092071
ENCODER;DiatomSizeReduction;Adiac;22;1000;0.6035805626598465
INCEPTION;DiatomSizeReduction;Adiac;0;1000;0.8209718670076727
INCEPTION;DiatomSizeReduction;Adiac;63;1000;0.3887468030690537
CNN;FiftyWords;ArrowHead;0;100;0.7314285714285714
CNN;FiftyWords;ArrowHead;11;100;0.7085714285714285
RESNET;FiftyWords;ArrowHead;0;100;0.7885714285714286
RESNET;FiftyWords;ArrowHead;37;100;0.6285714285714286
ENCODER;FiftyWords;ArrowHead;0;100;0.8057142857142857
ENCODER;FiftyWords;ArrowHead;22;100;0.8171428571428572
INCEPTION;FiftyWords;ArrowHead;0;100;0.3028571428571429
INCEPTION;FiftyWords;ArrowHead;63;100;0.48
CNN;FiftyWords;ArrowHead;0;1000;0.8285714285714286
CNN;FiftyWords;ArrowHead;11;1000;0.7771428571428571
RESNET;FiftyWords;ArrowHead;0;1000;0.8457142857142858
RESNET;FiftyWords;ArrowHead;37;1000;0.7942857142857143
ENCODER;FiftyWords;ArrowHead;0;1000;0.8114285714285714
ENCODER;FiftyWords;ArrowHead;22;1000;0.7771428571428571
INCEPTION;FiftyWords;ArrowHead;0;1000;0.8457142857142858
INCEPTION;FiftyWords;ArrowHead;63;1000;0.7828571428571428
CNN;FiftyWords;Beef;0;100;0.4666666666666667
CNN;FiftyWords;Beef;11;100;0.36666666666666664
RESNET;FiftyWords;Beef;0;100;0.7333333333333333
RESNET;FiftyWords;Beef;37;100;0.43333333333333335
ENCODER;FiftyWords;Beef;0;100;0.8666666666666667
ENCODER;FiftyWords;Beef;22;100;0.6666666666666666
INCEPTION;FiftyWords;Beef;0;100;0.2
INCEPTION;FiftyWords;Beef;63;100;0.3333333333333333
CNN;FiftyWords;Beef;0;1000;0.7666666666666667
CNN;FiftyWords;Beef;11;1000;0.5666666666666667
RESNET;FiftyWords;Beef;0;1000;0.7
RESNET;FiftyWords;Beef;37;1000;0.7
ENCODER;FiftyWords;Beef;0;1000;0.9333333333333333
ENCODER;FiftyWords;Beef;22;1000;0.7666666666666667
INCEPTION;FiftyWords;Beef;0;1000;0.7
INCEPTION;FiftyWords;Beef;63;1000;0.5666666666666667
CNN;ShapesAll;BeetleFly;0;100;0.7
CNN;ShapesAll;BeetleFly;11;100;0.8
RESNET;ShapesAll;BeetleFly;0;100;0.5
RESNET;ShapesAll;BeetleFly;37;100;0.95
ENCODER;ShapesAll;BeetleFly;0;100;0.75
ENCODER;ShapesAll;BeetleFly;22;100;0.85
INCEPTION;ShapesAll;BeetleFly;0;100;0.9
INCEPTION;ShapesAll;BeetleFly;63;100;1.0
CNN;ShapesAll;BeetleFly;0;1000;0.85
CNN;ShapesAll;BeetleFly;11;1000;1.0
RESNET;ShapesAll;BeetleFly;0;1000;0.95
RESNET;ShapesAll;BeetleFly;37;1000;0.95
ENCODER;ShapesAll;BeetleFly;0;1000;0.65
