set;model;epochs;loss;accuracy;val_loss;val_accuracy
Adiac;inception;20;1.6786;0.5769;3.4702;0.0332
Adiac;inception;100;0.2978;0.9231;16.9258;0.0256
Adiac;inception;500;0.0089;1.0000;0.8501;0.7852
Adiac;inception;1000;0.0024;1.0000;0.6940;0.8235
Adiac;cnn;20;2.6538;0.3282;14.4824;0.0281
Adiac;cnn;100;1.4428;0.6487;2.5723;0.3223
Adiac;cnn;500;0.5821;0.8436;1.1836;0.6113
Adiac;cnn;1000;0.2510;0.9436;0.6090;0.7877
Adiac;resnet;20;1.6267;0.5821;5.9882;0.0230
Adiac;resnet;100;0.4754;0.8487;1.6116;0.4987
Adiac;resnet;500;0.0282;0.9949;0.8492;0.8005
Adiac;resnet;1000;0.0071;1.0000;0.7022;0.8261
Adiac;encoder;20;3.2836;0.1487;3.3487;0.1509
Adiac;encoder;100;1.9746;0.3949;1.8634;0.4348
Adiac;encoder;500;0.7726;0.7462;0.8905;0.7263
Adiac;encoder;1000;0.4152;0.8692;0.7973;0.7852
ArrowHead;inception;20;0.1459;0.9722;4.8859;0.3029
ArrowHead;inception;100;0.0181;1.0000;7.2882;0.3029
ArrowHead;inception;500;5.6713e-04;1.0000;0.8247;0.7657
ArrowHead;inception;1000;1.7612e-04;1.0000;0.5144;0.8743
ArrowHead;cnn;20;0.6966;0.6667;1.1032;0.3029
ArrowHead;cnn;100;0.2916;0.8889;2.8491;0.3029
ArrowHead;cnn;500;0.0164;1.0000;3.2426;0.3143
ArrowHead;cnn;1000;0.0129;1.0000;0.5803;0.8171
ArrowHead;resnet;20;0.1189;1.0000;1.1061;0.3829
ArrowHead;resnet;100;0.0380;1.0000;2.2579;0.1943
ArrowHead;resnet;500;0.0011;1.0000;4.2932;0.3086
ArrowHead;resnet;1000;1.6953e-04;1.0000;0.6853;0.8514
ArrowHead;encoder;20;0.9659;0.7500;0.9957;0.6286
ArrowHead;encoder;100;0.3859;0.8889;0.6809;0.6800
ArrowHead;encoder;500;0.0138;1.0000;0.4195;0.8457
ArrowHead;encoder;1000;0.0020;1.0000;0.4400;0.8457
Beef;inception;20;0.7665;0.8667;1.4118;0.5000
Beef;inception;100;0.1008;1.0000;4.4135;0.3333
Beef;inception;500;0.0053;1.0000;3.4201;0.3667
Beef;inception;1000;0.0026;1.0000;0.6628;0.8333
Beef;cnn;20;1.2432;0.6333;1.5726;0.2333
Beef;cnn;100;0.8646;0.7000;1.8945;0.2000
Beef;cnn;500;0.1974;0.9667;7.0711;0.2000
Beef;cnn;1000;0.0301;1.0000;0.6788;0.6333
Beef;resnet;20;0.7324;0.7667;1.5881;0.2000
Beef;resnet;100;0.0983;1.0000;8.6493;0.2000
Beef;resnet;500;0.0026;1.0000;2.6662;0.4000
Beef;resnet;1000;0.0017;1.0000;0.9856;0.7333
Beef;encoder;20;1.4486;0.4333;1.4744;0.5333
Beef;encoder;100;1.0134;0.6000;1.3141;0.5333
Beef;encoder;500;0.2400;0.9333;0.9536;0.7333
Beef;encoder;1000;0.0482;1.0000;0.9400;0.7333
BeetleFly;inception;20;0.1764;0.9500;0.5343;0.6500
BeetleFly;inception;100;0.0011;1.0000;0.8006;0.7500
BeetleFly;inception;500;2.8660e-04;1.0000;0.6597;0.8500
BeetleFly;inception;1000;1.4553e-04;1.0000;0.5060;0.8500
BeetleFly;cnn;20;0.3208;0.9500;0.7428;0.5000
BeetleFly;cnn;100;0.0590;1.0000;3.2403;0.5000
BeetleFly;cnn;500;0.0668;1.0000;2.4638;0.5000
BeetleFly;cnn;1000;0.0076;1.0000;0.3192;0.8500
BeetleFly;resnet;20;0.2666;0.8500;0.6953;0.5000
BeetleFly;resnet;100;0.0078;1.0000;2.0278;0.5000
BeetleFly;resnet;500;1.7987e-04;1.0000;0.9363;0.7000
BeetleFly;resnet;1000;1.0562e-04;1.0000;0.5596;0.8000
BeetleFly;encoder;20;0.5768;0.9500;0.6604;0.6500
BeetleFly;encoder;100;0.0700;1.0000;0.5071;0.7500
BeetleFly;encoder;500;0.0014;1.0000;0.5683;0.7500
BeetleFly;encoder;1000;5.7932e-04;1.0000;0.6852;0.7000
BirdChicken;inception;20;0.3209;0.8500;0.9603;0.5000
BirdChicken;inception;100;0.0541;1.0000;0.7521;0.7000
BirdChicken;inception;500;0.0012;1.0000;0.5092;0.7500
BirdChicken;inception;1000;2.1223e-04;1.0000;0.2453;0.8500
BirdChicken;cnn;20;0.2328;0.9500;0.6979;0.5000
BirdChicken;cnn;100;0.0875;1.0000;0.7477;0.5000
BirdChicken;cnn;500;0.0027;1.0000;0.6260;0.6000
BirdChicken;cnn;1000;0.0046;1.0000;0.2206;0.9000
BirdChicken;resnet;20;0.0107;1.0000;0.8842;0.5000
BirdChicken;resnet;100;0.0118;1.0000;1.5925;0.5000
BirdChicken;resnet;500;0.0143;1.0000;1.4303;0.6000
BirdChicken;resnet;1000;1.1458e-04;1.0000;0.0658;1.0000
BirdChicken;encoder;20;0.5362;0.9000;0.6810;0.4500
BirdChicken;encoder;100;0.1603;0.9500;0.6229;0.5000
BirdChicken;encoder;500;0.0041;1.0000;0.7376;0.5500
BirdChicken;encoder;1000;6.2371e-04;1.0000;0.7774;0.5500
Car;inception;20;0.2978;0.9333;1.7214;0.4500
Car;inception;100;0.0195;1.0000;1.9173;0.3167
Car;inception;500;3.2857e-04;1.0000;0.6010;0.8500
Car;inception;1000;2.3853e-04;1.0000;0.5313;0.8667
Car;cnn;20;1.0024;0.7667;1.4202;0.2333
Car;cnn;100;0.3760;0.9667;7.4385;0.2333
Car;cnn;500;0.0192;1.0000;12.1877;0.2333
Car;cnn;1000;0.0043;1.0000;0.2180;0.9167
Car;resnet;20;0.4175;0.8833;1.3900;0.2333
Car;resnet;100;0.0776;1.0000;4.2704;0.2333
Car;resnet;500;0.0011;1.0000;7.9156;0.2333
Car;resnet;1000;7.2030e-04;1.0000;0.2493;0.9333
Car;encoder;20;1.1999;0.6500;1.2920;0.5333
Car;encoder;100;0.6249;0.8333;1.0515;0.6000
Car;encoder;500;0.0215;1.0000;0.8623;0.8167
Car;encoder;1000;0.0033;1.0000;1.0558;0.8333
CBF;inception;20;0.0362;1.0000;2.1381;0.4844
CBF;inception;100;0.0116;1.0000;0.2277;0.9022
CBF;inception;500;3.0961e-04;1.0000;0.0094;0.9967
CBF;inception;1000;0.0016;1.0000;0.0020;0.9989
CBF;cnn;20;0.2117;0.9667;0.9572;0.5944
CBF;cnn;100;0.0389;1.0000;2.1083;0.5167
CBF;cnn;500;5.3642e-04;1.0000;0.8503;0.7033
CBF;cnn;1000;4.3263e-04;1.0000;0.0110;0.9978
CBF;resnet;20;0.0113;1.0000;0.9541;0.8089
