Name,K_1,K_2,K_3
UWaveGestureLibraryAll,Worms,ShapesAll,UWaveGestureLibraryX
Wine,Beef,UWaveGestureLibraryY,FiftyWords
WordSynonyms,FiftyWords,Strawberry,StarLightCurves
Worms,WormsTwoClass,UWaveGestureLibraryZ,DistalPhalanxTW
WormsTwoClass,Worms,CricketX,BeetleFly
SyntheticControl,ItalyPowerDemand,UWaveGestureLibraryY,Trace
UWaveGestureLibraryX,UWaveGestureLibraryZ,Symbols,StarLightCurves
UWaveGestureLibraryY,DistalPhalanxOutlineCorrect,DistalPhalanxOutlineAgeGroup,Trace
UWaveGestureLibraryZ,UWaveGestureLibraryX,ShapesAll,UWaveGestureLibraryY
Wafer,ProximalPhalanxTW,MiddlePhalanxTW,MiddlePhalanxOutlineCorrect
Yoga,ShapesAll,Adiac,BirdChicken
